condition,band_idx,r_min,logit_drop
clean,0,0.0,-0.029857159
clean,0,0.0,0.13345909
clean,0,0.0,-0.09877348
clean,0,0.0,-0.063308716
clean,0,0.0,-0.03118515
clean,0,0.0,0.16699648
clean,0,0.0,-0.23666954
clean,0,0.0,-0.15172386
clean,0,0.0,-0.5660124
clean,0,0.0,0.16802025
clean,0,0.0,-0.6517248
clean,0,0.0,-0.08507919
clean,0,0.0,-0.30796194
clean,0,0.0,0.1211319
clean,0,0.0,-0.6558697
clean,0,0.0,-0.3932929
clean,0,0.0,-0.29873896
clean,0,0.0,-0.37978292
clean,0,0.0,-0.33303165
clean,0,0.0,-0.1796112
clean,0,0.0,-0.16761255
clean,0,0.0,-0.20418072
clean,0,0.0,-0.15023041
clean,0,0.0,-0.38630152
clean,0,0.0,0.05808544
clean,0,0.0,-0.31070757
clean,0,0.0,-0.12956715
clean,0,0.0,-0.100057125
clean,0,0.0,-0.4011612
clean,0,0.0,-0.23892975
clean,0,0.0,-0.11855698
clean,0,0.0,-0.08817291
clean,0,0.0,-0.3032713
clean,0,0.0,-0.43896198
clean,0,0.0,-0.15444851
clean,0,0.0,-0.34430456
clean,0,0.0,-0.15969372
clean,0,0.0,-0.027451515
clean,0,0.0,-0.059267044
clean,0,0.0,0.040070057
clean,0,0.0,-0.11509609
clean,0,0.0,-0.21634579
clean,0,0.0,0.7521696
clean,0,0.0,-0.063908815
clean,0,0.0,-0.74893355
clean,0,0.0,-0.31110954
clean,0,0.0,0.25595474
clean,0,0.0,-0.4490652
clean,0,0.0,-0.4381361
clean,0,0.0,-0.27017498
clean,0,0.0,-0.24822283
clean,0,0.0,-0.23885727
clean,0,0.0,0.31200886
clean,0,0.0,-0.42105055
clean,0,0.0,-0.18590403
clean,0,0.0,-0.335351
clean,0,0.0,-0.40769958
clean,0,0.0,0.037000656
clean,0,0.0,-0.2347064
clean,0,0.0,-0.07878828
clean,0,0.0,-0.50997496
clean,0,0.0,-0.45925522
clean,0,0.0,-0.4825666
clean,0,0.0,-0.16195536
clean,0,0.0,-0.00018978119
clean,0,0.0,-0.36102962
clean,0,0.0,-0.014215946
clean,0,0.0,-0.31456566
