condition,band_idx,r_min,logit_drop
clean,0,0.0,-0.25564146
clean,0,0.0,-0.57517767
clean,0,0.0,-0.18839884
clean,0,0.0,-0.13751125
clean,0,0.0,-0.109099865
clean,0,0.0,0.14559889
clean,0,0.0,0.13877916
clean,0,0.0,-0.38373184
clean,0,0.0,-0.2058568
clean,0,0.0,0.13619041
clean,0,0.0,0.19900608
clean,0,0.0,-0.36562204
clean,0,0.0,0.0017619133
clean,0,0.0,-0.013138294
clean,0,0.0,-0.08894014
clean,0,0.0,-0.3017168
clean,0,0.0,0.042227745
clean,0,0.0,-0.13055897
clean,0,0.0,-0.26168728
clean,0,0.0,-0.07948971
clean,0,0.0,-0.5042224
clean,0,0.0,-0.40774775
clean,0,0.0,-0.33316135
clean,0,0.0,-0.082445145
clean,0,0.0,-0.50424147
clean,0,0.0,-0.40630245
clean,0,0.0,-0.07136488
clean,0,0.0,-0.03841448
clean,0,0.0,-0.07817602
clean,0,0.0,-0.064119816
clean,0,0.0,-0.07592201
clean,0,0.0,-0.18325949
clean,0,0.0,-0.032044888
clean,0,0.0,-0.9042494
clean,0,0.0,-0.33775806
clean,0,0.0,-0.2495327
clean,0,0.0,0.2640834
clean,0,0.0,0.034879208
clean,0,0.0,-0.29205036
clean,0,0.0,-0.08628225
clean,0,0.0,-0.41929722
clean,0,0.0,-0.33295345
clean,0,0.0,-0.24435854
clean,0,0.0,-0.30127668
clean,0,0.0,-0.33127546
clean,0,0.0,-0.07144928
clean,0,0.0,-0.29446268
clean,0,0.0,-0.31386852
clean,0,0.0,0.2538023
clean,0,0.0,-0.093389034
clean,0,0.0,-0.06359625
clean,0,0.0,-0.44065797
clean,0,0.0,-0.683918
clean,0,0.0,-0.33778048
clean,0,0.0,-0.2716241
clean,0,0.0,-0.1895504
clean,0,0.0,-0.70511866
clean,0,0.0,-0.22341347
clean,0,0.0,0.11597252
clean,0,0.0,0.31398344
clean,0,0.0,0.009372711
clean,0,0.0,-0.108635426
clean,0,0.0,0.38275576
clean,0,0.0,0.15142798
clean,0,0.0,0.2200141
clean,0,0.0,-0.68529725
clean,0,0.0,0.3413012
clean,0,0.0,1.08518
clean,0,0.0,0.029195786
clean,0,0.0,0.31762075
clean,0,0.0,0.25401545
clean,0,0.0,0.11828518
clean,0,0.0,-0.50949407
clean,0,0.0,0.044768333
clean,0,0.0,0.3921156
clean,0,0.0,0.17078257
clean,0,0.0,0.40006638
clean,0,0.0,0.08684969
clean,0,0.0,-0.6176636
clean,0,0.0,-0.18355322
clean,0,0.0,-0.6000438
clean,0,0.0,-0.36521554
clean,0,0.0,-0.16649914
clean,0,0.0,0.278481
clean,0,0.0,0.34602737
clean,0,0.0,-0.0032000542
clean,0,0.0,0.0047597885
clean,0,0.0,0.48496413
clean,0,0.0,-0.38955954
clean,0,0.0,0.18099594
clean,0,0.0,0.23165703
clean,0,0.0,0.2752812
clean,0,0.0,0.6944616
clean,0,0.0,0.36215305
clean,0,0.0,0.44282818
clean,0,0.0,0.31631756
clean,0,0.0,-0.03753054
clean,0,0.0,-0.77483535
clean,0,0.0,0.57100725
clean,0,0.0,0.35581088
clean,0,0.0,0.2613089
clean,0,0.0,-0.1393466
clean,0,0.0,0.27873635
clean,0,0.0,0.48513126
clean,0,0.0,0.28105974
clean,0,0.0,0.012773514
clean,0,0.0,0.5681901
clean,0,0.0,-0.19159913
clean,0,0.0,-0.4212799
clean,0,0.0,0.6337409
clean,0,0.0,0.0044174194
clean,0,0.0,0.1783514
clean,0,0.0,0.2739029
clean,0,0.0,-0.4321699
clean,0,0.0,0.31990314
clean,0,0.0,0.40855646
clean,0,0.0,0.43990564
clean,0,0.0,0.26364708
clean,0,0.0,0.33289766
clean,0,0.0,-0.02348566
clean,0,0.0,0.13633251
clean,0,0.0,0.17373466
clean,0,0.0,0.17667341
clean,0,0.0,0.11192393
clean,0,0.0,0.06060052
clean,0,0.0,0.2171731
clean,0,0.0,0.16775298
clean,0,0.0,0.43247843
clean,0,0.0,0.00094795227
